Performance.KDTMean;Performance.MAMean;Performance.MVMean;Performance.TBCMean;Performance.DDCMean;Performance.DMSMean;Performance.AEDMean;Performance.ADMSLMean;ExhaustionLevel;Performance.Task
0,84274141;0,449871202;0,359851661;0,372389709;0,296425328;0,231320701;0,176940334;0,315114244;1;1
0,510767753;0,450944913;0,360250018;0,390110101;0,206272291;0,232864586;0,193957326;0,344532;1;1
0,500870523;0,455728568;0,363785455;0,366855411;0,628145672;0,237638086;0,163390567;0,382814567;1;1
0,499834538;0,458924606;0,370768899;0,374614017;0,22517992;0,223180975;0,2014546;0,296236662;1;1
0,503782029;0,473243287;0,385899137;0,376648913;0,255857394;0,24551397;0,232467916;0,36255704;1;1
0,501093279;0,446863457;0,356009895;0,363685276;0,212443347;0,227483389;0,165688192;0,303971476;1;1
0,501243346;0,412373948;0,319093837;0,364729328;0,171900505;0,225864019;0,220468835;0,27830389;1;1
0,537141142;0,439296782;0,353327872;0,385347559;0,183885302;0,23115198;0,157611613;0,303209993;0;1
0,500397723;0,433866311;0,348510498;0,360698361;0,240890395;0,224403472;0,20529876;0,28207243;0;1
0,508071405;0,409369549;0,322744866;0,377053616;0,285515661;0,232935773;0,162099383;0,29618492;0;1
0,499392106;0,412416835;0,31635837;0,361255595;0,262199764;0,22634327;0,161327213;0,289900705;1;1
0,500484423;0,450321585;0,36447082;0,384825194;0,176862411;0,227380961;0,180586996;0,292610118;0;1
0,499897051;0,446606698;0,352918305;0,361196016;0,215197217;0,246706907;0,166980855;0,33863551;1;1
0,511250746;0,461498947;0,383386611;0,36261817;0,374629427;0,225074261;0,172359723;0,284508742;1;1
0,500873826;0,484772619;0,409075279;0,376703907;0,168805721;0,22142228;0,151405275;0,340329954;1;1
0,501422935;0,485217573;0,398384919;0,371447514;0,17242987;0,255823078;0,178034278;0,394023146;0;1
0,501264588;0,413939056;0,319533477;0,363951387;0,234996214;0,220372049;0,19618288;0,261405262;0;1
0,500289999;0,425022015;0,3388215;0,362955436;0,168805721;0,240657726;0,225320499;0,335807263;0;1
0,501443522;0,417923029;0,32612685;0,379601857;0,197618604;0,231866868;0,154563203;0,321801807;0;1
0,500648133;0,418214113;0,328022854;0,369218223;0,24443478;0,24169466;0,165491079;0,346210804;0;1
0,499620178;0,431366202;0,341022433;0,369741486;0,224736066;0,235415789;0,193609784;0,320406785;0;1
0,499745243;0,484011831;0,396660314;0,362305351;0,486401292;0,24237251;0,183716314;0,308953231;0;1
0,50095;0,455712095;0,366343505;0,360771841;0,205912463;0,234257827;0,161807665;0,318163627;0;1
0,5004569;0,425597023;0,336188276;0,368768567;0,223283054;0,224662695;0,16378135;0,297917317;0;1
0,500505824;0,471097432;0,386615145;0,360888824;0,191065984;0,232088966;0,242215435;0,30370141;0;1
0,49975335;0,442440546;0,355553481;0,362875051;0,216333195;0,228503199;0,190491487;0,323221156;0;1
0,500816346;0,441823535;0,35379901;0,360713735;0,248017738;0,23785026;0,228720869;0,311916799;0;1
0,501358039;0,410438344;0,318159384;0,361593518;0,227255514;0,222318342;0,196031813;0,294494955;0;1
0,502858659;0,414020714;0,325514841;0,366717108;0,262711418;0,229639739;0,193166283;0,287094612;0;1
0,498020172;0,385316476;0,292711798;0,369117579;0,252080122;0,224104747;0,162098923;0,279867773;0;1
0,488522295;0,391882633;0,297462849;0,369395621;0,224326834;0,227385125;0,252745577;0,266705912;1;1
0,50370311;0,384545302;0,292589101;0,377022558;0,213635358;0,218060123;0,189585782;0,254275295;1;1
0,502710182;0,373064298;0,268146398;0,365941752;0,168805721;0,228947488;0,459836149;0,260131774;1;1
0,502209973;0,402183671;0,320313949;0,380576471;0,24613216;0,218054684;0,13362847;0,274837684;1;1
0,500565274;0,457369707;0,300558527;0,36406501;0,188743803;0,239567602;0,13780875;0,332684966;1;1
0,499861222;0,424795058;0,290771252;0,371139014;0,240980016;0,246859885;0,233615452;0,355503556;1;1
0,564716066;0,459354042;0,345743323;0,404202672;0,2309515;0,225844287;0,139150181;0,294233408;1;1
0,505662608;0,384206844;0,289580448;0,383796332;0,253769618;0,232746532;0,149874105;0,309981787;0;1
0,501538168;0,389448511;0,294731078;0,360745381;0,229923525;0,237926287;0,195844633;0,308568638;0;1
0,500037219;0,418528742;0,327812142;0,385567101;0,168805721;0,229587563;0,172265648;0,285790179;0;1
0,500251656;0,508380025;0,41580256;0,361735787;0,392828178;0,235569531;0,181910317;0,335237711;0;1
0,500784749;0,451059454;0,360205693;0,371511257;0,245882172;0,224512701;0,225992313;0,289700072;0;1
0,501949012;0,433132249;0,33874466;0,364876874;0,20921406;0,232286381;0,186762978;0,287976417;1;1
0,499747875;0,423769242;0,334014013;0,361710066;0,238084831;0,226366944;0,19431404;0,291030209;0;1
0,513656469;0,393757138;0,300490085;0,393548987;0,238497905;0,228658816;0,199390614;0,283108582;0;1
0,500605732;0,440421317;0,344427877;0,372030829;0,246911842;0,227563686;0,200255169;0,290752987;0;1
0,500130968;0,469716495;0,383291771;0,361261515;0,232735275;0,23483746;0,170736283;0,343482586;0;1
0,513553413;0,475807632;0,391211907;0,374307209;0,225402051;0,239602081;0,221649587;0,334004239;1;1
